national_eligible_for_MT,url_info,company_or_agency,deadline,description_short,type,id,money_detected,action_date,proof_required,geography,date_found,url_claim,priority_for_user,date_added,status,eligibility_text,pdf_local_path,estimated_amount,source,montana_specific,title,category,money_speed,difficulty,proof_simple,state
no,https://revenue.mt.gov/unclaimed-property/claims,Montana Department of Revenue,,Search for unclaimed cash and property held by the Montana Department of Revenue and submit a free claim through the TransAction Portal (TAP).,unclaimed_property_portal,MT_UNCLAIMED_MT_UNCLAIMED_MONTANA_TAP,,,medium,state,2025-12-11,https://tap.dor.mt.gov/?link=UCPSearch,high,2025-12-11,open,,,,MT_UNCLAIMED,yes,Montana Unclaimed Property Search (TransAction Portal),Unclaimed money & refunds,Fast,Easy,Normal,MT
yes,https://unclaimed.org/search/,National Association of Unclaimed Property Administrators (NAUPA),,Search for unclaimed property held by U.S. states and some Canadian provinces using the official NAUPA tools and MissingMoney multi-state search.,unclaimed_property_portal,MT_UNCLAIMED_MT_UNCLAIMED_NAUPA_MISSINGMONEY,,,medium,state,2025-12-11,https://missingmoney.com/app/claim-search,high,2025-12-11,open,,,,MT_UNCLAIMED,no,Nationwide Unclaimed Property Search (NAUPA & MissingMoney),Unclaimed money & refunds,Fast,Easy,Normal,MT
yes,https://www.pbgc.gov/workers-retirees/find-unclaimed-retirement-benefits/search-unclaimed,Pension Benefit Guaranty Corporation (PBGC),,Search the PBGC database for unclaimed pension and retirement benefits from terminated private-sector plans where participants could not be located.,unclaimed_pension_portal,MT_UNCLAIMED_MT_UNCLAIMED_PBGC_RETIREMENT,,,medium,state,2025-12-11,https://www.pbgc.gov/workers-retirees/find-unclaimed-retirement-benefits/search-unclaimed,high,2025-12-11,open,,,,MT_UNCLAIMED,no,Unclaimed Retirement Benefits Search (PBGC),Unclaimed money & refunds,Fast,Easy,Normal,MT
yes,https://www.usa.gov/unclaimed-money,USA.gov (U.S. General Services Administration),,"Official federal guide for finding unclaimed money from government sources such as tax refunds, bank failures, FHA refunds, and more, with links to the correct search tools.",unclaimed_money_guide,MT_UNCLAIMED_MT_UNCLAIMED_USAGOV,,,medium,state,2025-12-11,https://www.usa.gov/unclaimed-money,high,2025-12-11,open,,,,MT_UNCLAIMED,no,U.S. Government Unclaimed Money Guide (USAGov),Unclaimed money & refunds,Fast,Easy,Normal,MT
no,,Montana Commissioner of Securities and Insurance,,"CSI legal action. Case Proposed Agency Action Against Epicure US, Inc.. SEC 2022-25",rights_or_services,MT_CSI_LEGAL_Proposed-Agency-Action-Against-Epicure-US-Inc_SEC-2022-25,no,,unknown,state,2025-12-07,https://csimt.gov/consumers/file-a-complaint/,medium,2025-12-07,info_only,Consumers or entities involved in: 06/17/2022.,,,MT_CSI_LEGAL,yes,06/17/2022 - SEC 2022-25,Legal settlements & enforcement,Slow,Hard,Unknown,MT
no,,Montana Commissioner of Securities and Insurance,,"CSI legal action. Case Proposed Agency Action Against Jewels by Park Lane, Inc d/b/a Park Lane Jewelry. SEC 2022-137",rights_or_services,MT_CSI_LEGAL_Proposed-Agency-Action-Against-Jewels-by-Park-Lane-Inc-d-b-a-Park-Lane-Jewelry_SEC-2022-137,no,,unknown,state,2025-12-07,https://csimt.gov/consumers/file-a-complaint/,medium,2025-12-07,info_only,Consumers or entities involved in: 05/06/2022.,,,MT_CSI_LEGAL,yes,05/06/2022 - SEC 2022-137,Legal settlements & enforcement,Slow,Hard,Unknown,MT
no,,Montana Commissioner of Securities and Insurance,,CSI legal action. Case Proposed Agency Action Against Lilla Rose Inc.. SEC 2022-80,rights_or_services,MT_CSI_LEGAL_Proposed-Agency-Action-Against-Lilla-Rose-Inc_SEC-2022-80,no,,unknown,state,2025-12-07,https://csimt.gov/consumers/file-a-complaint/,medium,2025-12-07,info_only,Consumers or entities involved in: 05/06/2022.,,,MT_CSI_LEGAL,yes,05/06/2022 - SEC 2022-80,Legal settlements & enforcement,Slow,Hard,Unknown,MT
no,,Montana Commissioner of Securities and Insurance,,"CSI legal action. Case LimeLife USA LLC, A Deleware Corporation. SEC-2022-00075",rights_or_services,MT_CSI_LEGAL_LimeLife-USA-LLC-A-Deleware-Corporation_SEC-2022-00075,no,,unknown,state,2025-12-07,https://csimt.gov/consumers/file-a-complaint/,medium,2025-12-07,info_only,Consumers or entities involved in: 04/14/2022.,,,MT_CSI_LEGAL,yes,04/14/2022 - SEC-2022-00075,Legal settlements & enforcement,Slow,Hard,Unknown,MT
no,,Montana Commissioner of Securities and Insurance,,CSI legal action. Case Proposed Agency Action Against Anovite Inc.. SEC 2022-95,rights_or_services,MT_CSI_LEGAL_Proposed-Agency-Action-Against-Anovite-Inc_SEC-2022-95,no,,unknown,state,2025-12-07,https://csimt.gov/consumers/file-a-complaint/,medium,2025-12-07,info_only,Consumers or entities involved in: 04/08/2022.,,,MT_CSI_LEGAL,yes,04/08/2022 - SEC 2022-95,Legal settlements & enforcement,Slow,Hard,Unknown,MT
no,,Montana Commissioner of Securities and Insurance,,"CSI legal action. Case Proposed Agency Action Against Jump to Health, Inc.. SEC 2022-40",rights_or_services,MT_CSI_LEGAL_Proposed-Agency-Action-Against-Jump-to-Health-Inc_SEC-2022-40,no,,unknown,state,2025-12-07,https://csimt.gov/consumers/file-a-complaint/,medium,2025-12-07,info_only,Consumers or entities involved in: 04/06/2022.,,,MT_CSI_LEGAL,yes,04/06/2022 - SEC 2022-40,Legal settlements & enforcement,Slow,Hard,Unknown,MT
no,,Montana Commissioner of Securities and Insurance,,"CSI legal action. Case Proposed Agency Action Against Topanga Scents, Inc.. SEC 2022-26",rights_or_services,MT_CSI_LEGAL_Proposed-Agency-Action-Against-Topanga-Scents-Inc_SEC-2022-26,no,,unknown,state,2025-12-07,https://csimt.gov/consumers/file-a-complaint/,medium,2025-12-07,info_only,Consumers or entities involved in: 04/06/2022.,,,MT_CSI_LEGAL,yes,04/06/2022 - SEC 2022-26,Legal settlements & enforcement,Slow,Hard,Unknown,MT
