id,date_found,source,type,montana_specific,national_eligible_for_MT,title,description_short,company_or_agency,deadline,proof_required,url_info,url_claim,status,priority_for_user,date_added,category,money_speed,difficulty,proof_simple,state
OPENCLASSACTIONS_00001,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Mid America Pet Food Recall $5.5M Class Action,"Mid America Pet Food Recall $5.5M Class Action Settlement Deadline: February 5, 2026 Without Proof: Up to $20.00 With Proof: Up to $100K Submit Claim",,2/5/2026,easy,https://openclassactions.com/settlements/mid-america-pet-food-class-action-settlement.php,https://openclassactions.com/settlements/mid-america-pet-food-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00002,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$4M TreeHouse Foods Waffle Recall Class Action,"$4M TreeHouse Foods Waffle Recall Class Action Settlement Deadline: December 16, 2025 Without Proof: 2 Products With Proof: No Cap Submit Claim",,12/16/2025,easy,https://openclassactions.com/settlements/treehouse-foods-waffle-recall-settlement.php,https://openclassactions.com/settlements/treehouse-foods-waffle-recall-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00003,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$12.5M AARP Facebook Video Privacy Settlement,"$12.5M AARP Facebook Video Privacy Settlement Deadline: December 31, 2025 Without Proof: $47 - $237 With Proof: $47 - $237+ Submit Claim",,12/31/2025,easy,https://openclassactions.com/settlements/aarp-facebook-privacy-tracking-class-action-settlement.php,https://openclassactions.com/settlements/aarp-facebook-privacy-tracking-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00004,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$30M YouTube Childrens' Privacy Class Action,"$30M YouTube Childrens' Privacy Class Action Settlement Deadline: January 21, 2026 Without Proof: Varies With Proof: Varies Submit Claim",,1/21/2026,easy,https://openclassactions.com/settlements/youtube-privacy-settlement.php,https://openclassactions.com/settlements/youtube-privacy-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00005,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$7M NBA Top Shot Video Privacy Class Action,"$7M NBA Top Shot Video Privacy Class Action Settlement Deadline: December 16, 2025 Without Proof: $36 - $122 With Proof: Varies Submit Claim",,12/16/2025,easy,https://openclassactions.com/settlements/nba-top-shot-video-privacy-settlement.php,https://openclassactions.com/settlements/nba-top-shot-video-privacy-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00006,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$177M AT&T Data Breach Class Action,"$177M AT&T Data Breach Class Action Settlement Deadline: December 18, 2025 Without Proof: Varies With Proof: Up to $5,000 Submit Claim",,12/18/2025,easy,https://openclassactions.com/settlements/att-data-breach-settlement.php,https://openclassactions.com/settlements/att-data-breach-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00007,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$12.5M Keto Pills Deceptive Pricing Class Action,"$12.5M Keto Pills Deceptive Pricing Class Action Settlement Deadline: January 2, 2026 Without Proof: Varies With Proof: $149.91 - $238.44 Submit Claim",,1/2/2026,easy,https://openclassactions.com/settlements/keto-pills-class-action-settlement.php,https://openclassactions.com/settlements/keto-pills-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00008,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$425K Airport Parking Service Charge Settlement,"$425K Airport Parking Service Charge Settlement - California Deadline: January 15, 2026 Without Proof: Varies With Proof: Varies Submit Claim",,1/15/2026,easy,https://openclassactions.com/settlements/airport-parking-service-charge-settlement.php,https://openclassactions.com/settlements/airport-parking-service-charge-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00009,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Shimano Crankset Recall and Class Action,"Shimano Crankset Recall and Class Action Settlement Deadline: August 4, 2026 Without Proof: Varies With Proof: Varies Submit Claim",,8/4/2026,easy,https://www.openclassactions.com/settlements/bicycle-gears-shimano-crankset-recall-and-class-action-settlement.php,https://www.openclassactions.com/settlements/bicycle-gears-shimano-crankset-recall-and-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00010,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$1.5 Billion Anthropic AI Copyright Infringement Settlement,"$1.5 Billion Anthropic AI Copyright Infringement Settlement Deadline: March 26, 2026 Without Proof: N/A With Proof: $3,000 Submit Claim",,3/26/2026,easy,https://openclassactions.com/settlements/anthropic-ai-books-copyright-settlement.php,https://openclassactions.com/settlements/anthropic-ai-books-copyright-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
